,,交易对信息,,,order book 信息,,,切换交易对界面中的信息,,下单页,,
Base,pair,Last price,24h change,24h volume,Last price,Amount,Total,Last price,24h volume,最小下单数量(Min Trade Amount),最小价格波动(Min Tick Size),最小下单总金额(Min Order Value)
USDT,CYB,8,8,2,8,2,8,8,8,1,0.00000001,10
,ETH,2,2,2,2,5,7,2,8,0.00001,0.01,10
,BTC,2,2,2,2,6,8,2,8,0.000001,0.01,10
ETH,JCT,8,8,2,8,0,8,8,8,1,0.00000001,0.01
,BAT,8,8,2,8,0,8,8,8,1,0.00000001,0.01
,CYB,8,8,2,8,2,8,8,8,0.1,0.00000001,0.01
,EOS,6,6,2,6,2,8,6,8,0.01,0.000001,0.01
,MKR,6,6,2,6,2,8,6,8,0.00001,0.000001,0.01
,MVP,6,6,2,6,2,8,6,8,10,0.000001,0.01
,LHT,8,8,2,8,0,8,8,8,1,0.00000001,0.01
,VET,8,8,2,8,0,8,8,8,1,0.00000001,0.01
,MT,6,6,2,6,2,8,6,8,10,0.000001,0.01
,BTC,2,2,2,2,6,8,2,8,0.000001,0.00000001,0.01
,FUN,8,8,2,8,0,8,8,8,1,0.00000001,0.01
,TCT,6,6,2,6,2,8,6,8,1,0.000001,0.01
,GNX,8,8,2,8,0,8,8,8,1,0.00000001,0.01
BTC,LTC,6,6,2,6,2,8,6,8,0.01,0.000001,0.001
CYB,NAS,4,2,2,4,2,8,4,8,0.1,0.0001,10
,INK,4,2,2,4,2,8,4,8,10,0.0001,10
,MT,4,2,2,4,2,8,4,8,1,0.0001,10
,GNX,4,2,2,4,2,8,4,8,1,0.0001,10
,CTXC,4,2,2,4,2,8,4,8,1,0.0001,10
,SNT,4,2,2,4,2,8,4,8,10,0.0001,10